,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_lh,polar_wtt,polar_shg,polar_nn,T_out_star,V_static_star,dV_static_star,dV_dynamic_star,dTout_WL,V_star
0,0,0,0,0,0,0,0.0,0.0,2021年12月02日08时30分00秒,1.0527604818344116,2.203452110290528,0.0330032482743263,510.8355102539063,0.204425,6.610355854034424,0.1410209387540817,10.576570510864258,8.81380844116211,15.653843879699709,14.200178146362305,0.0001840000040829,0.0001840000040829,8.520014762878418,9.254499435424805,11.017260551452637,7.785530567169189,16.158649444580078,7.051046371459961,13.661402702331545,8.520014762878418,-79.9926528930664,0.0091810002923011,2.298934936523437,4.58807373046875,17.226099014282227,0.030963543583365,2.203452110290528,5.184593200683595,0.1410209387540817,6.610355854034424,8.81380844116211,10.576570510864258,9.695189476013184,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.522547853775974,1.7601644284207243,1.6101172973804343,1.2635237875608945,9.695189476013184,1.2635237875608945,0.0,0.0,0.0,0.030963543583365
1,1,1,1,1,1,1,1.0,1.0,2021年12月02日08时30分20秒,0.9793120622634888,0.7344840168952942,0.0,510.8355102539063,0.204425,6.904149532318115,0.1410209387540817,10.282776832580566,9.254499435424805,15.653843879699709,14.200178146362305,0.0001840000040829,0.0001840000040829,8.520014762878418,9.107601165771484,11.017260551452637,7.785530567169189,15.717958450317385,7.051046371459961,13.661402702331545,8.226221084594727,-79.9926528930664,0.0091810002923011,2.296486616134644,4.436286926269531,17.206512451171875,0.0288032959489261,0.7344840168952942,1.728197686812457,0.1410209387540817,6.904149532318115,9.254499435424805,10.282776832580566,9.768638134002686,0.0,0.204425,-1.4689680933952336,-3.4563955138711377,-0.0021602476344389,0.0734486579895019,0.0001840000040829,0.0001840000040829,1.441330448783155,1.6454689570547865,1.535713346395655,1.2633623668598812,9.695189476013184,1.2633946504044087,-6.456857824277407e-05,-0.001015555238976676,0.1925539722032248,0.030963543583365
2,2,2,2,2,2,2,2.0,2.0,2021年12月02日08时30分40秒,1.0527604818344116,0.7344840168952942,0.0,510.8355102539063,0.204425,6.316562652587891,0.2056555300951004,10.576570510864258,8.81380844116211,12.421348571777344,14.238431930541992,0.0001840000040829,0.0001840000040829,8.81380844116211,9.107601165771484,11.017260551452637,7.785530567169189,15.717958450317385,7.051046371459961,13.955196380615234,8.226221084594727,-79.9926528930664,0.0091810002923011,2.296486616134644,4.7398681640625,17.206512451171875,0.030963543583365,0.7344840168952942,1.728197686812457,0.2056555300951004,6.316562652587891,8.81380844116211,10.576570510864258,9.695189476013184,0.0,0.204425,0.0,0.0,0.0021602476344389,-0.0734486579895019,0.0001840000040829,0.0001840000040829,1.4423981993137074,1.647785412518158,1.5368190831489157,1.2636529299459829,9.768638134002686,1.2636206436825212,4.84280608132881e-05,-4.84280608132881e-05,0.1628248122446276,0.0288032959489261
3,3,3,3,3,3,3,3.0,3.0,2021年12月02日08时31分00秒,1.0527604818344116,2.203452110290528,0.0550054125487804,510.8355102539063,0.204425,6.610355854034424,0.2099644988775253,11.311054229736328,9.254499435424805,19.134992599487305,12.956910133361816,0.0001840000040829,0.0001840000040829,8.520014762878418,9.254499435424805,11.017260551452637,7.785530567169189,15.717958450317385,7.051046371459961,13.955196380615234,8.226221084594727,-79.9926528930664,0.0091810002923011,2.2940382957458496,4.58807373046875,17.226099014282227,0.030963543583365,2.203452110290528,5.184593200683595,0.2099644988775253,6.610355854034424,9.254499435424805,11.311054229736328,10.282776832580566,0.0,0.204425,1.4689680933952336,3.4563955138711377,0.0,0.5875873565673828,0.0001840000040829,0.0001840000040829,1.5142306431080843,1.7415300052177378,1.601404157595241,1.2632655186832946,9.695189476013184,1.2635237875608945,6.456857824299611e-05,0.0010155552389764539,0.4448103771960987,0.030963543583365
4,4,4,4,4,4,4,4.0,4.0,2021年12月02日08时31分20秒,0.930346429347992,3.672420263290405,0.0330032482743263,510.8355102539063,0.204425,7.051046371459961,0.1895948052406311,12.780021667480469,9.54829216003418,8.538530349731445,11.637134552001951,0.0001840000040829,0.0001840000040829,8.81380844116211,9.254499435424805,11.017260551452637,7.491737365722656,15.717958450317385,7.051046371459961,13.367609024047852,8.226221084594727,-79.9926528930664,0.0091810002923011,2.296486616134644,4.436286926269531,17.206512451171875,0.0273631302749409,3.672420263290405,8.640988854800952,0.1895948052406311,7.051046371459961,9.54829216003418,12.780021667480469,11.164156913757324,0.0,0.204425,1.468968152999877,3.4563956541173577,-0.0036004133084241,0.8813800811767578,0.0001840000040829,0.0001840000040829,1.5416827894979408,1.76771148504255,1.6235428508634056,1.2626844935441337,10.282776832580566,1.263071831286744,-0.00027440619788876575,-0.0015258004563232842,0.7093024768359815,0.030963543583365
5,5,5,5,5,5,5,5.0,5.0,2021年12月02日08时31分40秒,1.00379478931427,0.7344840168952942,0.0,510.8355102539063,0.204425,6.904149532318115,0.3039784729480743,13.661402702331545,9.254499435424805,16.610204696655273,11.866661071777344,0.0001840000040829,0.0001840000040829,8.520014762878418,9.107601165771484,11.017260551452637,8.079324722290039,16.158649444580078,7.051046371459961,13.367609024047852,8.520014762878418,-79.9926528930664,0.0091810002923011,2.296486616134644,4.7398681640625,17.206512451171875,0.029523376156302,0.7344840168952942,1.728197686812457,0.3039784729480743,6.904149532318115,9.254499435424805,13.661402702331545,11.457951068878174,0.0,0.204425,-2.93793624639511,-6.912791167988496,0.0021602458813611,0.2937941551208496,0.0001840000040829,0.0001840000040829,1.418512304565468,1.5952645186249612,1.5119946899696464,1.2626199417187007,11.164156913757324,1.2627490465149827,-0.0003873705229557878,-0.0003327131905757122,0.3496887949302518,0.0273631302749409
6,6,6,6,6,6,6,6.0,6.0,2021年12月02日08时32分00秒,1.0527604818344116,2.203452110290528,0.0,510.8355102539063,0.204425,7.051046371459961,0.1186926141381263,13.661402702331545,9.54829216003418,16.093769073486328,14.773992538452148,0.0001840000040829,0.0001840000040829,8.520014762878418,9.254499435424805,11.017260551452637,7.785530567169189,16.158649444580078,7.051046371459961,13.661402702331545,8.520014762878418,-79.9926528930664,0.0091810002923011,2.296486616134644,4.58807373046875,17.206512451171875,0.030963543583365,2.203452110290528,5.184593200683595,0.1186926141381263,7.051046371459961,9.54829216003418,13.661402702331545,11.60484743118286,0.0,0.204425,1.4689680933952336,3.4563955138711377,0.0014401674270629,0.1468963623046875,0.0001840000040829,0.0001840000040829,1.4967047280600072,1.7019436950558364,1.5831231204323983,1.2624908427598958,11.457951068878174,1.26255539145741,-0.0002582199146670128,0.002058426568879013,0.0705007495111615,0.029523376156302
7,7,7,7,7,7,7,7.0,7.0,2021年12月02日08时32分20秒,1.0527604818344116,0.7344840168952942,0.0330032482743263,510.8355102539063,0.204425,7.638634204864502,0.2565797567367553,15.424164772033691,9.842085838317873,10.585139274597168,15.271300315856934,0.0001840000040829,0.0001840000040829,8.81380844116211,9.254499435424805,11.017260551452637,7.785530567169189,16.158649444580078,7.051046371459961,13.661402702331545,8.226221084594727,-79.9926528930664,0.0091810002923011,2.298934936523437,4.7398681640625,17.206512451171875,0.030963543583365,0.7344840168952942,1.728197686812457,0.2565797567367553,7.638634204864502,9.842085838317873,15.424164772033691,12.63312530517578,0.0,0.204425,-1.4689680933952336,-3.4563955138711377,0.0,1.02827787399292,0.0001840000040829,0.0001840000040829,1.4043299736564108,1.5633118992926696,1.4971174359543002,1.26178089385273,11.60484743118286,1.2622326604576446,-0.0002581930286691403,0.0009782767422005902,0.792280440385932,0.030963543583365
8,8,8,8,8,8,8,8.0,8.0,2021年12月02日08时32分40秒,1.00379478931427,2.203452110290528,0.0,510.8355102539063,0.204425,8.079324722290039,0.2679397761821747,15.13037109375,9.98898220062256,14.812247276306152,14.372322082519531,0.0001840000040829,0.0001840000040829,8.226221084594727,9.107601165771484,11.017260551452637,7.785530567169189,16.011751174926758,7.051046371459961,13.367609024047852,8.226221084594727,-79.9926528930664,0.0091810002923011,2.2940382957458496,4.436286926269531,17.226099014282227,0.029523376156302,2.203452110290528,5.184593200683595,0.2679397761821747,8.079324722290039,9.98898220062256,15.13037109375,12.55967664718628,0.0,0.204425,1.4689680933952336,3.4563955138711377,-0.0014401674270629,-0.0734486579895019,0.0001840000040829,0.0001840000040829,1.4849010166211445,1.6750539927969872,1.5708705608807094,1.2616195647793316,12.63312530517578,1.261587299851016,-0.0004840458031969419,-0.0002360379103345081,-0.1630875838887568,0.030963543583365
9,9,9,9,9,9,9,9.0,9.0,2021年12月02日08时33分00秒,1.00379478931427,3.672420263290405,0.0550054125487804,510.8355102539063,0.204425,8.079324722290039,0.2671563327312469,14.68968105316162,10.282776832580566,14.793120384216309,14.372322082519531,0.0001840000040829,0.0001840000040829,8.520014762878418,9.254499435424805,11.017260551452637,8.079324722290039,16.158649444580078,6.7572526931762695,13.661402702331545,8.226221084594727,-79.9926528930664,0.0091810002923011,2.292814254760742,4.7398681640625,17.226099014282227,0.029523376156302,3.672420263290405,8.640988854800952,0.2671563327312469,8.079324722290039,10.282776832580566,14.68968105316162,12.486228942871094,0.0,0.204425,1.468968152999877,3.4563956541173577,0.0,-0.0734477043151855,0.0001840000040829,0.0001840000040829,1.5254220496576365,1.7296997706468138,1.6062624215237324,1.2616518296259978,12.55967664718628,1.2616195647793316,-0.0003065478391564014,-0.00041353587437504863,-0.0161196013837781,0.029523376156302
