,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_lh,polar_wtt,polar_shg,polar_nn,T_out_star,V_static_star,dV_static_star,dV_dynamic_star,dTout_WL,V_star
13,13,13,13,13,13,13,13,2021年10月29日10时04分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.80829906463623,0.1653078645467758,13.220711708068848,14.248991012573242,15.577335357666016,13.301198959350586,0.0001840000040829,0.0001840000040829,12.926918983459473,16.158649444580078,14.248991012573242,14.68968105316162,13.51450538635254,13.955196380615234,16.305545806884766,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1653078645467758,13.80829906463623,14.248991012573242,13.220711708068848,13.734851360321043,0.0,0.204425,0.0,0.0,0.0,-0.0734481811523437,0.0001840000040829,0.0001840000040829,1.334742456492722,1.4477473503509275,1.4220226646724956,1.258588140692391,13.808299541473389,1.258555907485174,-1.6116603608562485e-05,1.6116603608562485e-05,0.0352638107591278,0.0002700294203617
14,14,14,14,14,14,14,14,2021年10月29日10时04分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.80829906463623,0.1660913228988647,13.220711708068848,14.39588737487793,15.61559009552002,13.339454650878906,0.0001840000040829,0.0001840000040829,13.51450538635254,16.452442169189453,13.955196380615234,15.13037109375,13.07381534576416,13.955196380615234,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1660913228988647,13.80829906463623,14.39588737487793,13.220711708068848,13.808299541473389,0.0,0.204425,0.0,0.0,0.0,0.0734481811523437,0.0001840000040829,0.0001840000040829,1.334112313100136,1.446125399954931,1.4212325056269548,1.258555907485174,13.734851360321043,1.258588140692391,-0.00011282131023171438,0.00011282131023171438,0.0324579091261583,0.0002700294203617
15,15,15,15,15,15,15,15,2021年10月29日10时05分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.80829906463623,0.1668747663497924,13.220711708068848,14.248991012573242,15.653843879699709,13.377708435058594,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,14.248991012573242,15.13037109375,13.51450538635254,14.248991012573242,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1668747663497924,13.80829906463623,14.248991012573242,13.220711708068848,13.734851360321043,0.0,0.204425,0.0,0.0,0.0,-0.0734481811523437,0.0001840000040829,0.0001840000040829,1.334742456492722,1.4477473503509275,1.4220226646724956,1.258588140692391,13.808299541473389,1.258555907485174,0.0,0.0,0.0417790137115439,0.0002700294203617
16,16,16,16,16,16,16,16,2021年10月29日10时05分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.51450538635254,0.1680499464273452,13.220711708068848,14.39588737487793,15.711226463317873,13.396836280822754,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,14.248991012573242,14.983474731445312,13.220711708068848,14.248991012573242,16.89313316345215,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1680499464273452,13.51450538635254,14.39588737487793,13.220711708068848,13.808299541473389,0.0,0.204425,0.0,0.0,0.0,0.0734481811523437,0.0001840000040829,0.0001840000040829,1.334112313100136,1.446125399954931,1.4212325056269548,1.2586848427321335,13.734851360321043,1.2587170772725307,6.446829006989674e-05,-6.446829006989674e-05,0.0476754966703278,0.0002700294203617
17,17,17,17,17,17,17,17,2021年10月29日10时05分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.1688334047794342,13.220711708068848,14.248991012573242,15.74948024749756,13.396836280822754,0.0001840000040829,0.0001840000040829,12.926918983459473,16.158649444580078,14.248991012573242,15.13037109375,13.220711708068848,14.248991012573242,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1688334047794342,13.220711708068848,14.248991012573242,13.220711708068848,13.734851360321043,0.0,0.204425,0.0,0.0,0.0,-0.0734481811523437,0.0001840000040829,0.0001840000040829,1.334742456492722,1.4477473503509275,1.4220226646724956,1.2588460191871145,13.808299541473389,1.2588137833128545,0.00012893791384005482,-0.00012893791384005482,0.0294892440120886,0.0002700294203617
18,18,18,18,18,18,18,18,2021年10月29日10时06分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.80829906463623,0.169225126504898,13.220711708068848,14.248991012573242,15.768607139587402,13.43509006500244,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,14.248991012573242,15.13037109375,13.51450538635254,14.248991012573242,16.305545806884766,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.169225126504898,13.80829906463623,14.248991012573242,13.220711708068848,13.734851360321043,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001840000040829,0.0001840000040829,1.334742456492722,1.4477473503509275,1.4220226646724956,1.258588140692391,13.734851360321043,1.258588140692391,-6.44682900696747e-05,6.44682900696747e-05,0.0241124768852039,0.0002700294203617
19,19,19,19,19,19,19,19,2021年10月29日10时06分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.80829906463623,0.169225126504898,13.220711708068848,14.68968105316162,15.845115661621094,13.473344802856444,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,14.248991012573242,14.68968105316162,13.220711708068848,14.248991012573242,16.89313316345215,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.169225126504898,13.80829906463623,14.68968105316162,13.220711708068848,13.955196380615234,0.0,0.204425,0.0,0.0,0.0,0.2203450202941894,0.0001840000040829,0.0001840000040829,1.332865921517038,1.4429062166734867,1.419663729251699,1.2584914418610014,13.734851360321043,1.258588140692391,-0.00011282131023171438,0.00011282131023171438,0.0927590961203641,0.0002700294203617
20,20,20,20,20,20,20,20,2021年10月29日10时06分40秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.1707920283079147,13.51450538635254,14.68968105316162,15.883370399475098,13.473344802856444,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,14.248991012573242,15.13037109375,13.07381534576416,14.248991012573242,16.59933853149414,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1707920283079147,13.220711708068848,14.68968105316162,13.51450538635254,14.10209321975708,0.0,0.204425,0.0,0.0,0.0,0.1468968391418457,0.0001840000040829,0.0001840000040829,1.331637781688761,1.4397196490040938,1.4181101144748576,1.2586848427321335,13.955196380615234,1.258749312355603,8.058583160597266e-05,-8.058583160597266e-05,0.129058076873413,0.0002700294203617
21,21,21,21,21,21,21,21,2021年10月29日10时07分00秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.220711708068848,0.1711837500333786,13.51450538635254,14.248991012573242,15.90249729156494,13.492471694946287,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,14.248991012573242,14.983474731445312,13.51450538635254,14.248991012573242,16.305545806884766,15.424164772033691,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1711837500333786,13.220711708068848,14.248991012573242,13.51450538635254,13.88174819946289,0.0,0.204425,0.0,0.0,0.0,-0.2203450202941894,0.0001840000040829,0.0001840000040829,1.3334868128915385,1.444511699711803,1.4204462022700857,1.258781547562846,14.10209321975708,1.2586848427321335,4.8351019871217815e-05,-4.8351019871217815e-05,-0.0497883838081207,0.0002700294203617
22,22,22,22,22,22,22,22,2021年10月29日10时07分20秒,0.0091810002923011,0.2754319906234741,-9999,-9999,0.204425,13.80829906463623,0.1719671934843063,13.220711708068848,14.39588737487793,15.979005813598633,13.492471694946287,0.0001840000040829,0.0001840000040829,13.51450538635254,16.158649444580078,14.248991012573242,14.983474731445312,13.51450538635254,14.248991012573242,16.59933853149414,15.57106113433838,-79.9926528930664,0.0091810002923011,-9999,-9999,-9999,0.0002700294203617,0.2754319906234741,0.6480752720552333,0.1719671934843063,13.80829906463623,14.39588737487793,13.220711708068848,13.808299541473389,0.0,0.204425,0.0,0.0,0.0,-0.0734486579895019,0.0001840000040829,0.0001840000040829,1.334112313100136,1.446125399954931,1.4212325056269548,1.258555907485174,13.88174819946289,1.2585236744018844,-0.00011281897685933018,0.00011281897685933018,-0.0269749218447508,0.0002700294203617
