,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力,V,I,Current density,Pressure,Tlye,TH2,TO2,Tout,LyeFlow,LyeFlow_Polar,dI,dj,dV,dTout,HTO,OTH,polar_lh,polar_wtt,polar_shg,polar_nn,T_out_star,V_static_star,dV_static_star,dV_dynamic_star,dTout_WL,V_star
1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,2021年10月01日21时16分40秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.9614372253418,0.1809768676757812,43.77524566650391,44.803524017333984,15.23304557800293,15.271300315856934,0.0001836209994507,0.0001836209994507,76.68013763427734,47.15387344360352,31.14212226867676,24.237972259521484,31.58281135559082,23.50348854064941,128.24090576171875,41.42490005493164,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,34.9614372253418,44.803524017333984,43.77524566650391,44.28938484191895,0.0,0.204425,0.0,0.0,0.0,0.1468963623046875,0.0001836209994507,0.0001836209994507,1.2377119026695476,1.142546292203644,1.2568952348734337,1.2359759820416736,44.14248847961426,1.2360400001606504,9.60261756890457e-05,-9.60261756890457e-05,-0.0052606453358094,0.0002700308721293
1941,1941,1941,1941,1941,1941,1941,1941,1941,1941,1941,1941,2021年10月01日21时17分00秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.66764450073242,0.1809768676757812,43.4814567565918,44.215938568115234,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,76.53323364257812,47.15387344360352,31.14212226867676,24.237972259521484,31.72970962524414,23.356590270996094,128.24090576171875,41.42490005493164,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,34.66764450073242,44.215938568115234,43.4814567565918,43.84869766235352,0.0,0.204425,0.0,0.0,0.0,-0.4406871795654297,0.0001836209994507,0.0001836209994507,1.2382600496453016,1.144786550111945,1.2580370646859094,1.2362960840384143,44.28938484191895,1.236104019502656,9.602800981678428e-05,-9.602800981678428e-05,-0.2715135065495389,0.0002700308721293
1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,2021年10月01日21时17分20秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.9614372253418,0.1809768676757812,43.4814567565918,44.215938568115234,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,76.68013763427734,47.00697708129883,31.14212226867676,24.237972259521484,31.72970962524414,23.50348854064941,127.9471206665039,41.131107330322266,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,34.9614372253418,44.215938568115234,43.4814567565918,43.84869766235352,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001836209994507,0.0001836209994507,1.2382600496453016,1.144786550111945,1.2580370646859094,1.2361680392367065,43.84869766235352,1.2361680392367063,6.401953802770421e-05,-6.401953802770421e-05,0.0500899631194826,0.0002700308721293
1943,1943,1943,1943,1943,1943,1943,1943,1943,1943,1943,1943,2021年10月01日21时17分40秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.66764450073242,0.1809768676757812,43.4814567565918,44.06904220581055,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,76.53323364257812,46.71318054199219,31.14212226867676,24.0910758972168,31.72970962524414,23.50348854064941,128.53469848632812,41.131107330322266,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,34.66764450073242,44.06904220581055,43.4814567565918,43.77524948120117,0.0,0.204425,0.0,0.0,0.0,-0.0734481811523437,0.0001836209994507,0.0001836209994507,1.2383520859119954,1.145161168784525,1.2582292308773813,1.2363280960038632,43.84869766235352,1.2362960840384145,9.603226787935348e-05,-9.603226787935348e-05,-0.1357954759018085,0.0002700308721293
1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,2021年10月01日21时18分00秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.9614372253418,0.1809768676757812,43.18766021728516,44.215938568115234,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,76.23944091796875,46.41939163208008,31.14212226867676,24.53176689147949,31.72970962524414,23.50348854064941,128.24090576171875,40.837310791015625,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,34.9614372253418,44.215938568115234,43.18766021728516,43.7017993927002,0.0,0.204425,0.0,0.0,0.0,-0.0734500885009765,0.0001836209994507,0.0001836209994507,1.2384443216422638,1.14553616181677,1.2584219392653138,1.2362320618569018,43.77524948120117,1.2362000499781922,1.6005370742977476e-05,-1.6005370742977476e-05,-0.0650632763999112,0.0002700308721293
1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,1945,2021年10月01日21时18分20秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.22695541381836,0.1805851310491562,43.18766021728516,44.215938568115234,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,75.79875183105469,46.41939163208008,30.848329544067383,24.237972259521484,31.72970962524414,23.50348854064941,128.24090576171875,40.837310791015625,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1805851310491562,34.22695541381836,44.215938568115234,43.18766021728516,43.7017993927002,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001836209994507,0.0001836209994507,1.2384443216422638,1.14553616181677,1.2584219392653138,1.236552189165644,43.7017993927002,1.2365521891656441,0.00012805256361470008,-0.00012805256361470008,-0.0758066289531527,0.0002700308721293
1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,2021年10月01日21时18分40秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.22695541381836,0.1809768676757812,43.18766021728516,44.06904220581055,15.23304557800293,15.271300315856934,0.0001836209994507,0.0001836209994507,75.94564819335938,46.27249526977539,31.14212226867676,24.237972259521484,31.72970962524414,23.50348854064941,128.24090576171875,40.837310791015625,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,34.22695541381836,44.06904220581055,43.18766021728516,43.62835121154785,0.0,0.204425,0.0,0.0,0.0,-0.0734481811523437,0.0001836209994507,0.0001836209994507,1.2385367533188434,1.1459115136073463,1.2586151819744609,1.2365842035807542,43.7017993927002,1.2365521891656441,0.00017606959372606923,-0.00017606959372606923,-0.0815553657866061,0.0002700308721293
1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,2021年10月01日21时19分00秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.22695541381836,0.1809768676757812,43.04076385498047,44.06904220581055,15.23304557800293,15.271300315856934,0.0001836209994507,0.0001836209994507,75.2111587524414,46.27249526977539,31.14212226867676,24.237972259521484,31.289018630981445,23.50348854064941,127.9471206665039,40.69041442871094,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,34.22695541381836,44.06904220581055,43.04076385498047,43.55490303039551,0.0,0.204425,0.0,0.0,0.0,-0.0734481811523437,0.0001836209994507,0.0001836209994507,1.238629384616884,1.1462872377994546,1.258808966143305,1.236616218302233,43.62835121154785,1.2365842035807542,1.600720755501328e-05,-1.600720755501328e-05,-0.0758579187251129,0.0002700308721293
1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,2021年10月01日21时19分20秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.22695541381836,0.1805851310491562,43.04076385498047,44.06904220581055,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,75.2111587524414,46.27249526977539,31.14212226867676,24.53176689147949,31.72970962524414,23.50348854064941,127.9471206665039,40.69041442871094,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1805851310491562,34.22695541381836,44.06904220581055,43.04076385498047,43.55490303039551,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001836209994507,0.0001836209994507,1.238629384616884,1.1462872377994546,1.258808966143305,1.236616218302233,43.55490303039551,1.2366162183022327,3.201456829415861e-05,-3.201456829415861e-05,-0.0693961381330154,0.0002700308721293
1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,1949,2021年10月01日21时19分40秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.520748138427734,0.1805851310491562,43.04076385498047,44.06904220581055,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,75.2111587524414,45.97869873046875,31.14212226867676,24.53176689147949,31.58281135559082,23.50348854064941,127.80022430419922,40.39662170410156,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1805851310491562,34.520748138427734,44.06904220581055,43.04076385498047,43.55490303039551,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001836209994507,0.0001836209994507,1.238629384616884,1.1462872377994546,1.258808966143305,1.2364881612543863,43.55490303039551,1.2364881612543865,-4.802116318369798e-05,4.802116318369798e-05,-0.0720235765524677,0.0002700308721293
1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,2021年10月01日21时20分00秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,33.933162689208984,0.1809768676757812,42.74696731567383,44.06904220581055,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,74.77047729492188,45.97869873046875,31.14212226867676,24.237972259521484,31.289018630981445,23.50348854064941,128.24090576171875,40.69041442871094,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,33.933162689208984,44.06904220581055,42.74696731567383,43.40800476074219,0.0,0.204425,0.0,0.0,0.0,-0.1468982696533203,0.0001836209994507,0.0001836209994507,1.238815253674041,1.14703982899224,1.259198172533008,1.2368083138982984,43.55490303039551,1.2367442802525561,6.403097516161083e-05,-6.403097516161083e-05,-0.0729539551286464,0.0002700308721293
1951,1951,1951,1951,1951,1951,1951,1951,1951,1951,1951,1951,2021年10月01日21时20分20秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.22695541381836,0.1809768676757812,42.74696731567383,43.77524566650391,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,74.77047729492188,45.97869873046875,31.14212226867676,24.53176689147949,31.72970962524414,23.50348854064941,127.9471206665039,40.39662170410156,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1809768676757812,34.22695541381836,43.77524566650391,42.74696731567383,43.26110649108887,0.0,0.204425,0.0,0.0,0.0,-0.1468982696533203,0.0001836209994507,0.0001836209994507,1.2390019368695138,1.1477939576662726,1.259589570715346,1.2367442819153849,43.40800476074219,1.2366802494958389,9.604412072627966e-05,-9.604412072627966e-05,-0.0625702784546504,0.0002700308721293
1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,2021年10月01日21时20分40秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.22695541381836,0.1805851310491562,42.74696731567383,43.77524566650391,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,74.77047729492188,45.68490982055664,31.14212226867676,24.53176689147949,31.72970962524414,23.50348854064941,128.24090576171875,40.10282897949219,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1805851310491562,34.22695541381836,43.77524566650391,42.74696731567383,43.26110649108887,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001836209994507,0.0001836209994507,1.2390019368695138,1.1477939576662726,1.259589570715346,1.2367442819153849,43.26110649108887,1.2367442819153847,8.314142707632755e-10,-8.314142707632755e-10,-0.0562840128910835,0.0002700308721293
1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,2021年10月01日21时21分00秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,33.933162689208984,0.1805851310491562,42.74696731567383,43.77524566650391,15.23304557800293,15.271300315856934,0.0001836209994507,0.0001836209994507,74.47667694091797,45.53800964355469,31.14212226867676,24.53176689147949,31.72970962524414,23.797283172607425,127.9471206665039,40.10282897949219,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1805851310491562,33.933162689208984,43.77524566650391,42.74696731567383,43.26110649108887,0.0,0.204425,0.0,0.0,0.0,0.0,0.0001836209994507,0.0001836209994507,1.2390019368695138,1.1477939576662726,1.259589570715346,1.2368723487705582,43.26110649108887,1.2368723487705582,9.6049637359652e-05,-9.6049637359652e-05,-0.0753054368578105,0.0002700308721293
1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,2021年10月01日21时21分20秒,0.0091810496523976,0.2754315137863159,-9999,-9999,0.204425,34.22695541381836,0.1805851310491562,42.74696731567383,43.18766021728516,15.194791793823242,15.271300315856934,0.0001836209994507,0.0001836209994507,74.32978057861328,45.53800964355469,31.14212226867676,24.53176689147949,31.58281135559082,23.797283172607425,127.9471206665039,40.10282897949219,-79.9926528930664,0.0091810496523976,-9999,-9999,-9999,0.0002700308721293,0.2754315137863159,0.6480741500854492,0.1805851310491562,34.22695541381836,43.18766021728516,42.74696731567383,42.96731376647949,0.0,0.204425,0.0,0.0,0.0,-0.293792724609375,0.0001836209994507,0.0001836209994507,1.2393777833751731,1.149306938815301,1.2603790019710155,1.2368723487705582,43.26110649108887,1.2367442819153847,0.0,0.0,-0.0907919949702744,0.0002700308721293
